se_type,type,rank_group,rank_absolute,position,xpath,domain,title,url,breadcrumb,website_name,is_image,is_video,is_featured_snippet,is_malicious,description,pre_snippet,extended_snippet,amp_version,rating,highlighted,links,main_domain,relative_url,etv,impressions_etv,estimated_paid_traffic_cost,clickstream_etv,about_this_result_type,about_this_result_url,about_this_result_source,about_this_result_source_info,about_this_result_source_url,about_this_result_language,about_this_result_location,about_this_result_search_terms,about_this_result_related_terms,rank_changes_previous_rank_absolute,rank_changes_is_new,rank_changes_is_up,rank_changes_is_down,backlinks_info_referring_domains,backlinks_info_referring_main_domains,backlinks_info_referring_pages,backlinks_info_dofollow,backlinks_info_backlinks,backlinks_info_time_update,rank_info_page_rank,rank_info_main_domain_rank,items,about_this_result,backlinks_info,rating_rating_type,rating_value,rating_votes_count,rating_rating_max,sub_title,card_id,image_url,logo_url,cid,items_se_type,items_type,items_rank_group,items_rank_absolute,items_position,items_xpath,items_domain,items_title,items_url,items_breadcrumb,items_website_name,items_is_image,items_is_video,items_is_featured_snippet,items_is_malicious,items_description,items_pre_snippet,items_extended_snippet,items_amp_version,items_rating,items_highlighted,items_links,items_about_this_result,items_main_domain,items_relative_url,items_etv,items_impressions_etv,items_estimated_paid_traffic_cost,items_clickstream_etv,items_rank_changes,items_backlinks_info,items_rank_info
google,organic,1,1,left,/html[1]/body[1]/div[6]/div[1]/div[13]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[1],en.wikipedia.org,Albert Einstein,https://en.wikipedia.org/wiki/Albert_Einstein,https://en.wikipedia.org › wiki › Albert_Einstein,Wikipedia,False,False,False,False,"Albert Einstein was a German-born theoretical physicist, widely held to be one of the greatest and most influential scientists of all time.",,,False,,['Albert Einstein'],"[{'type': 'link_element', 'title': 'Religious and philosophical...', 'description': None, 'url': 'https://en.wikipedia.org/wiki/Religious_and_philosophical_views_of_Albert_Einstein'}, {'type': 'link_element', 'title': 'Albert Einstein House', 'description': None, 'url': 'https://en.wikipedia.org/wiki/Albert_Einstein_House'}, {'type': 'link_element', 'title': 'Political views of Albert...', 'description': None, 'url': 'https://en.wikipedia.org/wiki/Political_views_of_Albert_Einstein'}]",wikipedia.org,/wiki/Albert_Einstein,91504.0,189.8784,188498.24,,about_this_result_element,https://en.wikipedia.org/wiki/Albert_Einstein,,,https://en.wikipedia.org/wiki/Wikipedia,English,United States,"['albert', 'einstein']",,1.0,False,False,False,7320.0,6124.0,49715.0,46857.0,110060.0,2023-06-30 21:35:09 +00:00,569.0,856.0,,,,,,,,,,,,,google,organic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
google,people_also_ask,1,2,left,/html[1]/body[1]/div[6]/div[1]/div[13]/div[1]/div[2]/div[2]/div[1]/div[1]/div[2]/div[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'type': 'people_also_ask_element', 'title': 'Did Einstein meet Oppenheimer?', 'xpath': '/html[1]/body[1]/div[6]/div[1]/div[13]/div[1]/div[2]/div[2]/div[1]/div[1]/div[2]/div[1]/div[1]/div[2]/div[1]', 'expanded_element': [{'type': 'people_also_ask_expanded_element', 'featured_title': None, 'url': 'https://www.businessinsider.com/einstein-oppenheimer-relationship-disagreements-not-friends-2023-7', 'domain': 'www.businessinsider.com', 'title': ""Einstein and Oppenheimer's Relationship - Business Insider"", 'description': None, 'timestamp': None, 'table': None}]}, {'type': 'people_also_ask_element', 'title': ""What was Einstein's genius?"", 'xpath': '/html[1]/body[1]/div[6]/div[1]/div[13]/div[1]/div[2]/div[2]/div[1]/div[1]/div[2]/div[1]/div[1]/div[2]/div[2]', 'expanded_element': [{'type': 'people_also_ask_expanded_element', 'featured_title': None, 'url': 'https://www.csuiteimpact.com/albert-einstein-genius-but-far-from-perfect/', 'domain': 'www.csuiteimpact.com', 'title': 'Albert Einstein, Genius, But Far From Perfect - C-Suite IMPACT', 'description': None, 'timestamp': None, 'table': None}]}, {'type': 'people_also_ask_element', 'title': 'What was Albert Einstein doing when he died?', 'xpath': '/html[1]/body[1]/div[6]/div[1]/div[13]/div[1]/div[2]/div[2]/div[1]/div[1]/div[2]/div[1]/div[1]/div[2]/div[3]', 'expanded_element': [{'type': 'people_also_ask_expanded_element', 'featured_title': None, 'url': 'https://homework.study.com/explanation/what-was-einstein-working-on-when-he-died.html', 'domain': 'homework.study.com', 'title': 'What was Einstein working on when he died? - Homework.Study.com', 'description': None, 'timestamp': None, 'table': None}]}, {'type': 'people_also_ask_element', 'title': 'What are 3 interesting facts about Albert Einstein?', 'xpath': '/html[1]/body[1]/div[6]/div[1]/div[13]/div[1]/div[2]/div[2]/div[1]/div[1]/div[2]/div[1]/div[1]/div[2]/div[4]', 'expanded_element': [{'type': 'people_also_ask_expanded_element', 'featured_title': 'Interesting Facts About Einstein', 'url': 'https://nuttyscientists.com/blog/10-interesting-facts-about-einstein/', 'domain': 'nuttyscientists.com', 'title': '10 Interesting Facts About Einstein | Nutty Scientists US', 'description': None, 'timestamp': None, 'table': None}]}]",,,,,,,,,,,,google,organic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
google,organic,2,3,left,/html[1]/body[1]/div[6]/div[1]/div[13]/div[1]/div[2]/div[2]/div[1]/div[1]/div[3]/div[1],www.nobelprize.org,Albert Einstein – Biographical - NobelPrize.org,https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,https://www.nobelprize.org › prizes › physics › biogra...,Nobel Prize,False,False,False,False,"Albert Einstein grew up in Munich, where his father founded an electrical engineering company. After studying at the ETH university in Zurich, Einstein worked ...",,,False,,['Albert Einstein'],,nobelprize.org,/prizes/physics/1921/einstein/biographical/,48762.0,101.18520000000001,100449.72,,about_this_result_element,https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,,,https://en.wikipedia.org/wiki/Nobel_Prize,English,United States,"['albert', 'einstein']",,3.0,False,False,False,1139.0,975.0,2162.0,1474.0,2480.0,2023-07-01 19:37:30 +00:00,357.0,517.0,,,,,,,,,,,,,google,organic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
google,organic,3,4,left,/html[1]/body[1]/div[6]/div[1]/div[13]/div[1]/div[2]/div[2]/div[1]/div[1]/div[4]/div[1],www.britannica.com,"Albert Einstein | Biography, Education, Discoveries, & Facts",https://www.britannica.com/biography/Albert-Einstein,https://www.britannica.com › ... › Physics › Physicists,Britannica,False,False,False,False,"Albert Einstein, German-born physicist who developed the special and general theories of relativity, pioneering many key developments.",07/17/2023 00:00:00,,False,,['Albert Einstein'],,britannica.com,/biography/Albert-Einstein,29287.3,60.77358,60331.838,,about_this_result_element,https://www.britannica.com/biography/Albert-Einstein,,,,English,United States,"['albert', 'einstein']",,4.0,False,False,False,906.0,712.0,2506.0,1735.0,3238.0,2023-07-01 14:29:45 +00:00,373.0,617.0,,,,,,,,,,,,,google,organic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
google,organic,4,5,left,/html[1]/body[1]/div[6]/div[1]/div[13]/div[1]/div[2]/div[2]/div[1]/div[1]/div[5]/div[1],www.biography.com,Albert Einstein - Nobel Prize Winners,https://www.biography.com/scientists/albert-einstein,https://www.biography.com › ... › Nobel Prize Winners,Biography,False,False,False,False,Albert Einstein was a German mathematician and physicist who developed the special and general theories of relativity.,07/20/2023 00:00:00,,False,,['Albert Einstein'],,biography.com,/scientists/albert-einstein,19835.9,41.16114,40861.954000000005,,about_this_result_element,https://www.biography.com/scientists/albert-einstein,,,,English,United States,"['albert', 'einstein']",,5.0,False,False,False,16.0,16.0,41.0,5.0,42.0,2023-07-01 19:13:02 +00:00,352.0,512.0,,,,,,,,,,,,,google,organic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
google,organic,5,6,left,/html[1]/body[1]/div[6]/div[1]/div[13]/div[1]/div[2]/div[2]/div[1]/div[1]/div[6]/div[1],www.space.com,"Albert Einstein: His life, theories and impact on science",https://www.space.com/15524-albert-einstein.html,https://www.space.com › ... › Science & Astronomy,Space.com,False,False,False,False,Albert Einstein is often cited as one of the most influential scientists of the 20th century. His work continues to help astronomers study ...,11/18/2022 00:00:00,,False,,['Albert Einstein'],,space.com,/15524-albert-einstein.html,14116.9,29.29374,29080.814,,about_this_result_element,https://www.space.com/15524-albert-einstein.html,,,https://en.wikipedia.org/wiki/Space.com,English,United States,"['albert', 'einstein']",,6.0,False,False,False,638.0,545.0,1368.0,961.0,1417.0,2023-07-15 14:46:18 +00:00,330.0,543.0,,,,,,,,,,,,,google,organic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
google,organic,6,7,left,/html[1]/body[1]/div[6]/div[1]/div[13]/div[1]/div[2]/div[2]/div[1]/div[1]/div[7]/div[1],www.livescience.com,"Albert Einstein: Biography, facts and impact on science",https://www.livescience.com/albert-einstein.html,https://www.livescience.com › albert-einstein,Live Science,False,False,False,False,"A brief biography of Albert Einstein, the scientist whose theories changed the way we think about the universe.",03/14/2023 00:00:00,,False,,['Albert Einstein'],,livescience.com,/albert-einstein.html,10173.8,21.11148,20958.028,,about_this_result_element,https://www.livescience.com/albert-einstein.html,,,https://en.wikipedia.org/wiki/Live_Science,English,United States,"['albert', 'einstein']",,61.0,False,True,False,346.0,330.0,976.0,792.0,1000.0,2023-07-15 17:28:38 +00:00,310.0,549.0,,,,,,,,,,,,,google,organic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
google,organic,7,8,left,/html[1]/body[1]/div[6]/div[1]/div[13]/div[1]/div[2]/div[2]/div[1]/div[1]/div[8]/div[1],en.wikiquote.org,Albert Einstein,https://en.wikiquote.org/wiki/Albert_Einstein,https://en.wikiquote.org › wiki › Albert_Einstein,Wikiquote,False,False,False,False,"Einstein is known for developing the theory of relativity, but he also made important contributions to the development of the theory of quantum mechanics.",,,False,,['Einstein'],,wikiquote.org,/wiki/Albert_Einstein,7705.6,15.989760000000002,15873.536000000002,,about_this_result_element,https://en.wikiquote.org/wiki/Albert_Einstein,,,https://en.wikipedia.org/wiki/Wikiquote,English,United States,"['albert', 'einstein']",,7.0,False,False,True,876.0,804.0,2504.0,2003.0,3383.0,2023-07-01 14:05:21 +00:00,408.0,686.0,,,,,,,,,,,,,google,organic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
google,organic,8,9,left,/html[1]/body[1]/div[6]/div[1]/div[13]/div[1]/div[2]/div[2]/div[1]/div[1]/div[9]/div[1],www.history.com,Albert Einstein,https://www.history.com/topics/inventions/albert-einstein,https://www.history.com › ... › Inventions & Science,History Channel,False,False,False,False,The German-born physicist Albert Einstein developed the first of his groundbreaking theories while working as a clerk in the Swiss patent ...,10/27/2009 00:00:00,,False,,['Albert Einstein'],,history.com,/topics/inventions/albert-einstein,5929.7,12.30462,12215.182,,about_this_result_element,https://www.history.com/topics/inventions/albert-einstein,,,https://en.wikipedia.org/wiki/History_(American_TV_network),English,United States,"['albert', 'einstein']",,11.0,False,True,False,253.0,245.0,429.0,217.0,442.0,2023-07-30 01:17:18 +00:00,285.0,536.0,,,,,,,,,,,,,google,organic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
google,organic,9,10,left,/html[1]/body[1]/div[6]/div[1]/div[13]/div[1]/div[2]/div[2]/div[1]/div[1]/div[10]/div[1],www.nasonline.org,Albert Einstein,http://www.nasonline.org/member-directory/deceased-members/20001817.html,http://www.nasonline.org › deceased-members,National Academy of Sciences,False,False,False,False,"Considered by many to be the greatest scientist of the twentieth century, Albert Einstein revolutionized scientific thought with new theories of space, ...",,,False,,['Albert Einstein'],,nasonline.org,/member-directory/deceased-members/20001817.html,4515.0,9.369,9300.9,,about_this_result_element,http://www.nasonline.org/member-directory/deceased-members/20001817.html,,,https://en.wikipedia.org/wiki/National_Academy_of_Sciences,English,United States,"['albert', 'einstein']",,13.0,False,True,False,209.0,182.0,319.0,51.0,331.0,2023-07-01 20:13:20 +00:00,121.0,431.0,,,,,,,,,,,,,google,organic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
